image,camera,participant_id,file_id,annotation_id,chunk_id,activity,group,src_split,frame
a_column_co_driver__run2_2018-05-24-14-35-56.ids_2__vp11__ann70__ch1.jpg,a_column_co_driver,11,vp11/run2_2018-05-24-14-35-56.ids_2,70,1,eating,drink,test,17320
a_column_co_driver__run2_2018-05-24-17-22-26.ids_2__vp2__ann38__ch4.jpg,a_column_co_driver,2,vp2/run2_2018-05-24-17-22-26.ids_2,38,4,eating,drink,train,20197
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann20__ch1.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,20,1,drinking,drink,val,9968
a_column_co_driver__run2_2018-05-23-15-30-27.ids_2__vp8__ann16__ch4.jpg,a_column_co_driver,8,vp8/run2_2018-05-23-15-30-27.ids_2,16,4,eating,drink,train,7779
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann123__ch3.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,123,3,eating,drink,test,45897
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann80__ch3.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,80,3,eating,drink,val,31583
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann86__ch17.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,86,17,eating,drink,val,36042
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann56__ch1.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,56,1,drinking,drink,test,24193
a_column_co_driver__run2b_2018-05-23-13-54-07.ids_2__vp7__ann36__ch0.jpg,a_column_co_driver,7,vp7/run2b_2018-05-23-13-54-07.ids_2,36,0,opening_bottle,drink,train,14227
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann87__ch0.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,87,0,opening_bottle,drink,train,35063
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann85__ch11.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,85,11,eating,drink,train,34232
a_column_co_driver__run2_2018-05-24-17-22-26.ids_2__vp2__ann38__ch6.jpg,a_column_co_driver,2,vp2/run2_2018-05-24-17-22-26.ids_2,38,6,eating,drink,train,20380
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann91__ch0.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,91,0,drinking,drink,train,23215
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann58__ch13.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,58,13,eating,drink,train,30212
