image,camera,participant_id,file_id,annotation_id,chunk_id,activity,obj_class,split,src_split,frame
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann41__ch0.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,41,0,interacting_with_phone,phone,train,val,12992
a_column_co_driver__run2_2018-05-24-14-08-46.ids_2__vp10__ann19__ch3.jpg,a_column_co_driver,10,vp10/run2_2018-05-24-14-08-46.ids_2,19,3,interacting_with_phone,phone,train,train,9656
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann37__ch0.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,37,0,talking_on_phone,phone,val,train,14545
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann98__ch2.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,98,2,interacting_with_phone,phone,test,val,44688
a_column_co_driver__run2_2018-05-29-16-03-37.ids_2__vp3__ann46__ch3.jpg,a_column_co_driver,3,vp3/run2_2018-05-29-16-03-37.ids_2,46,3,talking_on_phone,phone,train,train,20660
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann82__ch1.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,82,1,interacting_with_phone,phone,train,test,33920
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann39__ch5.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,39,5,talking_on_phone,phone,train,test,18790
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann59__ch1.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,59,1,interacting_with_phone,phone,train,train,35324
a_column_co_driver__run1_2018-05-23-10-21-45.ids_2__vp6__ann47__ch4.jpg,a_column_co_driver,6,vp6/run1_2018-05-23-10-21-45.ids_2,47,4,interacting_with_phone,phone,train,train,25054
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann72__ch8.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,72,8,talking_on_phone,phone,train,test,33512
